company,Education,experience,industry,jobid,joblocation_address,jobtitle,numberofpositions,payrate,postdate,Degree_PG,Degree_UG
The Global Institute of Technology and Management (GITM),"B.Tech/B.E. PostgraduateM.Tech, MBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 5 yrs,Education,1.91E+11,"Gurgaon , Gurgaon",Asstt.?Professor CIVIL,1,Not Disclosed by Recruiter,3/22/16,Post Graduate,Under Graduate
Banyan Tree School,"Any Graduate PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Req",2 - 5 yrs,Education,1.91E+11,"Delhi , Delhi",Office Assistant,1,Not Disclosed by Recruiter,3/22/16,Post Graduate,
SummitWorks Technologies Pvt Ltd,Postgraduation,3 - 5 yrs,IT Software Services,1.51E+11,Chennai,Configuration Management Professional,1,Not Disclosed by Recruiter,6/15/16,,
Zuti Engineering Solutions Pvt Ltd,"Any Graduate - Any Specialization, Graduation Not Required, B.Tech/B.E. - Any Specialization, Mechanical Postgraduate",3 - 6 yrs,Retail,3.00E+11,"Hyderabad , Bengaluru , Chennai , Mumbai , Pune , Delhi",Design Engineer-catia-sheetmetal-bangalore-zuti Engineering Solutions,1,"2,25,000 - 6,00,000 P.A",6/16/16,Post Graduate,Under Graduate
Lantern Learning Solutions,"B.Tech/B.E. - Any Specialization, Civil, Mechanical PostgraduateMBA/PGDM - Any Specialization, HR/Industrial Relation",0 - 1 yrs,Education,1.51E+11,Chennai,Trainees BE & MBA for Reputed Org- 2015 & 16 Passout can Apply,10,"2,50,000 - 3,50,000 P.A",6/15/16,Post Graduate,Under Graduate
HCL Technologies,"B.Tech/B.E. - Any Specialization PostgraduatePost Graduation Not Required, M.Tech - Any Specialization, MCA - Compute",0 - 1 yrs,IT Software Services,1.31E+11,"Chennai , Noida , Bengaluru",Walk in for HCL Technologies Through LEAP on 19th June@noida HCL,900,"2,50,000 P.A",6/15/16,Post Graduate,Under Graduate
websol software pvt ltd,"Any Graduate - Any Specialization, Graduation Not Required PostgraduateAny Postgraduate - Any Specialization, Post Gr",1 - 3 yrs,IT Software Services,1.10E+11,"Bengaluru , Chennai , Kozhikode / Calicut",Automation Testing Engineer,1,"2,25,000 - 5,00,000 P.A",6/16/16,Post Graduate,
MASS MEDIA,"B.Tech/B.E. - Any Specialization, Computers PostgraduateMBA/PGDM - Any Specialization, Other Management",0 - 1 yrs,BPO,80616000587,Chennai,Part/full Time Data Entry Job From Home in Chennai,1,"1,25,000 - 2,00,000 P.A",6/15/16,Post Graduate,Under Graduate
Amtex Software Solutions Pvt. Ltd.,B.Tech/B.E. - Any Specialization PostgraduateAny Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Spec,5 - 10 yrs,IT Software Services,1.01E+11,Chennai,Sr PHP Developer,1,"7,00,000 - 10,00,000 P.A",05/09/2016,Post Graduate,Under Graduate
Asset HR Management Consultants,Any Graduate,0 - 4 yrs,Banking,1.01E+11,"Mumbai , Chennai , Gurgaon",Sr.customer Support Executive / Phone Banking Officer (inbound Voice),1,Not Disclosed by Recruiter,05/09/2016,,
Corporate Resources,Any Graduate,3 - 7 yrs,Food,1.41E+11,Chennai,Executive / Manager - Digital Marketing,1,"3,00,000 - 5,00,000 P.A. As Per Candidature",5/13/16,,
Pranav HR Consultants,Any Graduate,0 - 0 yrs,BPO,1.01E+11,Chennai,Required Fresher For Leading Organizations,1,Not Disclosed by Recruiter,05/09/2016,,
Link Tree Technologies PVT LTD,Any Graduate,13 - 20 yrs,Other,1.41E+11,Chennai,Reg:urgent Placement for SAP Basis Senior Resources in Hcl-chennai,1,Not Disclosed by Recruiter,5/13/16,,
Dreams Solution,Any Graduate,0 - 3 yrs,Biotech,1.01E+11,Chennai,Hiring For_area Sales Manager Profile IN A Pharma Company FOR Chennai,1,Not Disclosed by Recruiter,05/09/2016,,
Ikya Human Capital Solutions Pvt Ltd,Any Graduate,4 - 9 yrs,IT Software Services,1.01E+11,"Noida , Chennai",Opening for IBM TSM @ Bangalore Face to face -14 MAY 2016 ( Saturday),16,Not Disclosed by Recruiter,05/09/2016,,
BRIGHTWAY HR CONSULTING SERVICES PRIVATE LIMITED,"Any Graduate - Any Specialization, Graduation Not Required PostgraduateAny Postgraduate - Any Specialization, Post Gr",3 - 6 yrs,Retail,1.31E+11,Chennai,Engineer/sr.engineer (Exp 2.5-6 Years),1,"2,00,000 - 7,00,000 P.A",05/12/2016,Post Graduate,
dynproindia,"B.Tech/B.E. - Any Specialization, Any Graduate - Any Specialization",4 - 9 yrs,IT Software Services,1.11E+11,Chennai,Weblogic with Core Java,1,"4,00,000 - 9,00,000 P.A",05/10/2016,,Under Graduate
doodleblue,"B.Tech/B.E. PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Requ",2 - 6 yrs,IT Software Services,50516500684,Chennai,Backend Developer,1,Not Disclosed by Recruiter,05/05/2016,Post Graduate,Under Graduate
Bharti Airtel Limited,"B.Tech/B.E. PostgraduateM.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",4 - 7 yrs,Telecom,1.11E+11,Chennai,SDH- IP- CEN Planning Lead,1,Not Disclosed by Recruiter,05/11/2016,Post Graduate,Under Graduate
Link Tree Technologies PVT LTD,Any Graduate,3 - 8 yrs,Other,1.01E+11,Chennai,Reg:urgent Placement for AS 400/rpg 400 Resources in Hcl-chennai,1,Not Disclosed by Recruiter,05/09/2016,,
ABC Consultants Pvt Ltd,Postgraduation,9 - 14 yrs,IT Software Services,90516004322,Bengaluru,Performance Test Architect,1,"14,00,000 - 24,00,000 P.A",05/12/2016,,
Â Talent Acceleration Corridor,Any Graduate,10 - 15 yrs,IT Software Services,90516900459,"Bengaluru , Noida , Delhi/NCR(National Capital Region)",Java Architect - IT,1,Not Disclosed by Recruiter,05/10/2016,,
Turbizo - Startup,B.Tech/B.E. - Any Specialization PostgraduateMBA/PGDM - Any Specialization Doctorate:Doctorate Not Required,5 - 8 yrs,Internet,1.21E+11,Bengaluru,AVP - Operations - IIM / FMS / IIT / NIT / ISB / XLRI,1,Not Disclosed by Recruiter,5/13/16,Post Graduate,Under Graduate
Cognizant Technology Solutions India Ltd,"B.Tech/B.E. PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Requ",9 - 13 yrs,IT Software Services,1.11E+11,"Chennai , Bengaluru , Hyderabad , Pune , Ernakulam / Kochi/ Cochin , Kolkata",Architect / Sr. Architect - Full Stack,1,Not Disclosed by Recruiter,05/12/2016,Post Graduate,Under Graduate
Ken QA Services,Any Graduate,4 - 8 yrs,IT Software Services,1.11E+11,"Delhi/NCR(National Capital Region) , Bengaluru , Hyderabad , Chennai",EMC Legato - Networker Data Domain,1,Not Disclosed by Recruiter,05/11/2016,,
Dataphi Labs,B.Tech/B.E. - Any Specialization PostgraduateAny Postgraduate - Any Specialization Doctorate:Doctorate Not Required,2 - 5 yrs,Internet,1.11E+11,Bengaluru,Front-end Developer - Startup jobs,1,Not Disclosed by Recruiter,05/12/2016,Post Graduate,Under Graduate
Solutions IQ hiring for Solutionsiq,"Any Graduate - Any Specialization, Graduation Not Required PostgraduateAny Postgraduate Doctorate:Any Doctorate - Any",10 - 20 yrs,IT Software Services,50516002056,"Bengaluru , Pune",Agile Coach,4,Not Disclosed by Recruiter,05/12/2016,Post Graduate,
TalPro,Any Graduate,5 - 10 yrs,IT Software Services,1.80E+11,"Bengaluru , Mumbai , Delhi/NCR(National Capital Region)",Lead - Quality Engineering Expert - Web / UI Automation,1,Not Disclosed by Recruiter,05/10/2016,,
Jupiter Capital,"Any Graduate - Any Specialization, Graduation Not Required PostgraduateAny Postgraduate - Any Specialization, Post Gr",5 - 10 yrs,Advertising,1.21E+11,Bengaluru,PR Managers,1,"10,00,000 - 20,00,000 P.A",05/12/2016,Post Graduate,
Gios India hiring for A Branded MNC e-publishing company,"Any Graduate - Any Specialization, B.Pharma - Pharmacy, BDS - Dentistry, MBBS - Medicine PostgraduateAny Postgraduate",1 - 5 yrs,Publishing,1.31E+11,Bengaluru,Copy Editor - Medical,4,"2,00,000 - 3,50,000 P.A. +variables",5/13/16,Post Graduate,
Vikram Hospital,"MBBS - Medicine PostgraduatePG Diploma - Any Specialization, Any Postgraduate - Any Specialization Doctorate:Doctorat",0 - 2 yrs,Healthcare,1.21E+11,Bengaluru,Openings for Md(general/internal Medicine),1,"8,00,000 - 10,00,000 P.A",05/12/2016,Post Graduate,
Microland Limited,Any Graduate PostgraduateAny Postgraduate Doctorate:Doctorate Not Required,7 - 10 yrs,IT Software Services,1.11E+11,Bengaluru,Consultant Database (oracle),1,Not Disclosed by Recruiter,05/11/2016,Post Graduate,
SnapShopr - Startup,"Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization PostgraduateAny Postgraduate - Any Specialization",1 - 3 yrs,Internet,1.21E+11,Bengaluru,Software Engineer- Javascript,1,Not Disclosed by Recruiter,5/13/16,Post Graduate,Under Graduate
Client Of Sampoorna,B.Tech/B.E.,7 - 8 yrs,IT-Hardware & Networking,1.11E+11,Bengaluru,Avaya Contact Center (contact BLR) - J36672,1,Not Disclosed by Recruiter,05/11/2016,,Under Graduate
RPRH pvt ltd,Any Graduate,3 - 6 yrs,IT Software Services,2.51E+11,Bengaluru,Product Development - Ui/html5/css/angular/javascript/jquery,1,Not Disclosed by Recruiter,05/10/2016,,
Siemens Limited,"B.Tech/B.E. - Computers, Any Graduate - Any Specialization PostgraduateMCA - Computers Doctorate:Any Doctorate - Any",5 - 6 yrs,IT Software Services,1.21E+11,Bengaluru,NLS Engineer,1,Not Disclosed by Recruiter,05/12/2016,Post Graduate,Under Graduate
Deitya Infotech Private Limited hiring for Cmmi5 Company-justdial,"Any Graduate - Any Specialization, Graduation Not Required PostgraduateAny Postgraduate - Any Specialization, Post Gr",3 - 4 yrs,IT Software Services,1.11E+11,Bengaluru,Opening with E-commerce Company- Justdial,1,"10,00,000 - 13,00,000 P.A",05/11/2016,Post Graduate,
Callconcepts,"B.Com - Commerce PostgraduateMBA/PGDM - Any Specialization, CA Doctorate:Doctorate Not Required",5 - 6 yrs,Finance,1.01E+11,Bengaluru,Finance Manager - CA - Mfg,1,Not Disclosed by Recruiter,05/12/2016,Post Graduate,
Microland Limited,Any Graduate PostgraduateAny Postgraduate Doctorate:Doctorate Not Required,7 - 10 yrs,IT Software Services,1.11E+11,Bengaluru,Consultant Tool Systems App Dynamics,1,Not Disclosed by Recruiter,05/11/2016,Post Graduate,
ToneTag,Any Graduate,2 - 4 yrs,Internet,40216900420,Bengaluru,iOS Developer,1,Not Disclosed by Recruiter,05/10/2016,,
Red Rock,B.Tech/B.E. - Any Specialization PostgraduateAny Postgraduate - Any Specialization Doctorate:Doctorate Not Required,6 - 8 yrs,IT Software Services,1.01E+11,Bengaluru,Technical Architect - Web Applications - Iit/niit/nit/bits,1,Not Disclosed by Recruiter,05/12/2016,Post Graduate,Under Graduate
Splash Consultancy hiring for Hiring for Client of Splash,"Any Graduate - Any Specialization, Graduation Not Required PostgraduateAny Postgraduate - Any Specialization, Post Gr",8 - 13 yrs,IT Software Services,1.21E+11,Bengaluru,Platform Architect -analytics,1,"12,00,000 - 22,00,000 P.A",05/12/2016,Post Graduate,
Wize Careers Consultants hiring for Wize Careers Consultants,"Any Graduate - Any Specialization, Graduation Not Required PostgraduateAny Postgraduate - Any Specialization, Post Gr",2 - 7 yrs,BPO,1.31E+11,"Mumbai , Bengaluru , Delhi/NCR(National Capital Region)","Freelancer Recruiter from Banking, Analytical, Pharma Domain, Pune",15,Commission sharing only,5/13/16,Post Graduate,
Alfa Resources,Any Graduate - Any Specialization PostgraduateMBA/PGDM - Any Specialization Doctorate:Any Doctorate - Any Specializat,4 - 8 yrs,IT Software Services,2.11E+11,"Bengaluru , Hyderabad , Chennai",SAP Solman Functional Consultant,1,Not Disclosed by Recruiter,05/10/2016,Post Graduate,
Fortune Executive Search,Any Graduate,2 - 7 yrs,Banking,1.31E+11,Bengaluru,KAM/ Account Manager/ Relationship Officer - Corporate Salary Account,1,"2,50,000 - 7,50,000 P.A",5/13/16,,
Aristo Consultants,Any Graduate,3 - 7 yrs,Banking,1.01E+11,Bengaluru,Associate - Fund Accounting - CA - Investment Bank,1,Not Disclosed by Recruiter,05/12/2016,,
Lazzaro HR Solutions Pvt. Ltd. hiring for Leading IT MNC (cmmi Level 5),Any Graduate,5 - 10 yrs,IT Software Services,1.11E+11,Bengaluru,"Urgent Opening for Java Developer with Leading IT MNC , Bangalore",1,Not Disclosed by Recruiter,05/11/2016,,
Turbizo - Startup,B.Tech/B.E. - Any Specialization PostgraduateMBA/PGDM - Any Specialization Doctorate:Doctorate Not Required,1 - 3 yrs,Internet,1.21E+11,Bengaluru,AVP - Operations - IIM / ISB / XLRI / FMS / XIMB / IIT,1,Not Disclosed by Recruiter,5/13/16,Post Graduate,Under Graduate
JPMorgan Chase,"B.Tech/B.E. - Any Specialization, Computers PostgraduatePost Graduation Not Required",7 - 10 yrs,Banking,1.11E+11,Bengaluru,ECM Support Java -2,1,Not Disclosed by Recruiter,05/11/2016,Post Graduate,Under Graduate
Comguard Infosol Pvt. Ltd.,Any Graduate,3 - 8 yrs,IT Software Services,1.21E+11,Bengaluru,Product Manager,1,Not Disclosed by Recruiter,5/13/16,,
"Telamon HR Solutions hiring for A US Based Product Development Company, Bangalore","B.Tech/B.E. - Any Specialization PostgraduateM.Tech - Any Specialization, M.Sc - Computers, MCA - Computers Doctorate",4 - 6 yrs,IT Software Services,1.01E+11,Bengaluru,"IOS Developer, US Based Company, Bangalore",2,Not Disclosed by Recruiter,05/10/2016,Post Graduate,Under Graduate
Influx Consulting hiring for Client OF Influx Consulting,"Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization PostgraduateAny Postgraduate - Any Specialization",13 - 20 yrs,IT-Hardware & Networking,1.11E+11,Bengaluru,SR KEY Accounts Manager - Corporate IT Sales,1,Not Disclosed by Recruiter,05/11/2016,Post Graduate,Under Graduate
Impact HR Services Pvt.Ltd.,B.Tech/B.E. - Any Specialization PostgraduateM.Tech - Any Specialization Doctorate:Any Doctorate - Any Specialization,8 - 13 yrs,Electronics,1.01E+11,Bengaluru,Excellent Job Opportunity for Analog Validation,1,Not Disclosed by Recruiter,05/10/2016,Post Graduate,Under Graduate
Siemens Limited,"B.Tech/B.E. - Computers, Any Graduate - Any Specialization PostgraduateMCA - Computers Doctorate:Any Doctorate - Any",5 - 8 yrs,IT Software Services,1.21E+11,Bengaluru,Engineer - Design & Development,1,Not Disclosed by Recruiter,5/13/16,Post Graduate,Under Graduate
SRP Talent Management hiring for one of our renowned client,"B.Tech/B.E. - Computers PostgraduateAny Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any",7 - 12 yrs,IT Software Services,1.01E+11,Bengaluru,Dot Net Developer,1,"13,00,000 - 15,00,000 P.A",05/10/2016,Post Graduate,Under Graduate
JPMorgan Chase,"B.Tech/B.E. - Any Specialization, Computers PostgraduatePost Graduation Not Required",5 - 7 yrs,Banking,1.11E+11,Bengaluru,Java Application Development,1,Not Disclosed by Recruiter,5/13/16,Post Graduate,Under Graduate
Genesis Luxury Fashion,Any Graduate PostgraduatePost Graduation Not Required Doctorate:Doctorate Not Required,5 - 10 yrs,Retail,1.31E+11,Bengaluru,Store Manager | Genesis Luxury Fashion | Bangalore,1,"5,00,000 - 11,00,000 P.A",5/13/16,Post Graduate,
Treebo Hotels,B.Tech/B.E. - Any Specialization PostgraduateAny Postgraduate - Any Specialization Doctorate:Doctorate Not Required,4 - 7 yrs,Internet,1.21E+11,Bengaluru,Startup - Front-end Developer - IIT/ REC,1,Not Disclosed by Recruiter,5/13/16,Post Graduate,Under Graduate
The Head Hunters (India) Pvt Ltd,"Any Graduate - Any Specialization, Graduation Not Required PostgraduateAny Postgraduate - Any Specialization, Post Gr",5 - 7 yrs,IT Software Services,1.01E+11,Bengaluru,IT Recruiter,1,"8,00,000 - 9,50,000 P.A",05/10/2016,Post Graduate,
TalPro,Any Graduate,6 - 10 yrs,IT Software Services,1.80E+11,"Bengaluru , Mumbai , Delhi/NCR(National Capital Region)",Technical Lead - iOS Developer,1,Not Disclosed by Recruiter,05/10/2016,,
VMware India,"B.Tech/B.E. - Computers PostgraduateM.Tech - Computers Doctorate:Any Doctorate - Any Specialization, Doctorate Not Re",8 - 10 yrs,IT Software Services,1.11E+11,Bengaluru,Senior Member Of Technical Staff -storage and Availability Business,1,Not Disclosed by Recruiter,05/12/2016,Post Graduate,Under Graduate
Janaagraha Centre for Citizenship and Democracy,"Any Graduate - Any Specialization PostgraduateMBA/PGDM - Advertising/Mass Communication, Marketing Doctorate:Doctorat",8 - 12 yrs,Finance,2.51E+11,Bengaluru,Janaagraha - Associate Manager/manager - Advocacy,1,Not Disclosed by Recruiter,05/10/2016,Post Graduate,
Alp Consultancy,Any Graduate,12 - 16 yrs,IT Software Services,90516900075,Bengaluru,Application Architect - Salesforce,1,Not Disclosed by Recruiter,05/10/2016,,
Future Domain Services Private Limited,"Any Graduate - Any Specialization, Graduation Not Required PostgraduateMBA/PGDM - Any Specialization",0 - 5 yrs,Banking,1.31E+11,"Chennai , Bengaluru , Gurgaon",Ernst & Young Hiring Qualified CA (gurgaon / Chennai / Bangalore).,1,"6,00,000 - 16,00,000 P.A. Variables",5/13/16,Post Graduate,
Siemens Limited,"B.Tech/B.E. - Computers, Any Graduate - Any Specialization PostgraduateMCA - Computers Doctorate:Any Doctorate - Any",8 - 10 yrs,IT Software Services,1.21E+11,Bengaluru,Software Architect,1,Not Disclosed by Recruiter,5/13/16,Post Graduate,Under Graduate
iSearch Consulting Services Pvt Ltd,Postgraduation,7 - 12 yrs,IT Software Services,1.31E+11,"Bengaluru , Trivandrum , Ernakulam / Kochi/ Cochin",Opening for Java Lead / Architect! (cochin / Trivandrum / Bangalore),1,Not Disclosed by Recruiter,5/13/16,,
LetsTransport,B.Tech/B.E. - Computers PostgraduateM.Tech - Computers Doctorate:Doctorate Not Required,1 - 2 yrs,Internet,90516900223,Bengaluru,UX/ UI Designer - Startup,1,Not Disclosed by Recruiter,05/10/2016,Post Graduate,Under Graduate
Talpro,Any Graduate,1 - 5 yrs,IT Software Services,1.80E+11,"Delhi/NCR(National Capital Region) , Bengaluru",Frontend Developer - Ui/html/css,1,Not Disclosed by Recruiter,05/10/2016,,
Neerinfo Solutions,Any Graduate,6 - 11 yrs,IT Software Services,1.21E+11,"Mumbai , Bengaluru",Business Finance Lead - IT,1,Not Disclosed by Recruiter,5/13/16,,
Collabera Technologies Pvt. Ltd.,Postgraduation,10 - 20 yrs,IT Software Services,1.11E+11,Bengaluru,AIX Administrator- Global SME,1,"15,00,000 - 30,00,000 P.A",05/11/2016,,
Startup - Gocheck Media,"B.Tech/B.E. - Any Specialization PostgraduateM.Tech - Any Specialization, MCA - Computers, M.Sc Doctorate:Doctorate N",2 - 3 yrs,Internet,1.21E+11,Bengaluru,Technical Architect,1,Not Disclosed by Recruiter,5/13/16,Post Graduate,Under Graduate
RockOn,"B.Tech/B.E. - Any Specialization PostgraduateAny Postgraduate - Any Specialization, Post Graduation Not Required Doct",4 - 6 yrs,Internet,1.11E+11,Bengaluru,Back-end Developer - Startup,1,Not Disclosed by Recruiter,05/12/2016,Post Graduate,Under Graduate
Ethiraj Associates,Any Graduate,5 - 8 yrs,IT Software Services,1.10E+11,Bengaluru,Network Services/check Point,1,Not Disclosed by Recruiter,05/11/2016,,
Prasha Consultancy Services Pvt. Ltd. hiring for a Top MNC,Any Graduate,9 - 12 yrs,BPO,1.01E+11,Bengaluru,Hiring for Assistant Manager/manager in Regulatory Affairs,1,"10,00,000 - 19,00,000 P.A. Hike would be as per market standard",05/10/2016,,
Ather Energy,"B.Tech/B.E. - Electrical, Electronics/Telecommunication PostgraduateAny Postgraduate - Any Specialization, Post Gradu",3 - 8 yrs,Internet,1.11E+11,Bengaluru,Embedded Hardware Design - Engineer - Startup,1,Not Disclosed by Recruiter,05/12/2016,Post Graduate,Under Graduate
Careernet Technologies Pvt Ltd,Postgraduation,3 - 8 yrs,IT Software Services,1.31E+11,Bengaluru,Great Opportunity for AX Professioanls,1,"8,00,000 - 18,00,000 P.A",5/13/16,,
Janaagraha Centre for Citizenship and Democracy,"Any Graduate - Any Specialization PostgraduateMBA/PGDM - Advertising/Mass Communication, Marketing Doctorate:Doctorat",5 - 10 yrs,Finance,2.81E+11,Bengaluru,Associate Manager - Advocacy,1,Not Disclosed by Recruiter,05/10/2016,Post Graduate,
CareerNet Consulting,Any Graduate,10 - 14 yrs,IT Software Services,90516900132,Bengaluru,VP - Digital Analytics - Branded Cards,1,Not Disclosed by Recruiter,05/10/2016,,
RESOURCES GLOBAL PROFESSIONALS INDIA PVT. LTD.,"Any Graduate - Any Specialization, Graduation Not Required PostgraduateAny Postgraduate - Any Specialization, Post Gr",8 - 13 yrs,Banking,1.01E+11,Bengaluru,Excellent Opening for SAP COPA Implementation - Bangalore,1,Not Disclosed by Recruiter,05/10/2016,Post Graduate,
Scotia HR Solutions LLP hiring for client,"B.Com - Commerce PostgraduateCA, ICWA(CMA) Doctorate:Doctorate Not Required",8 - 12 yrs,Construction,1.01E+11,Bengaluru,Finance Head,1,"15,00,000 - 22,50,000 P.A",05/10/2016,Post Graduate,
Kotak Securities Limited,Any Graduate,1 - 3 yrs,Banking,1.31E+11,Bengaluru,Hiring for Dealers Profile at Kotak Securities - Bangalore,1,"1,50,000 - 2,50,000 P.A. Plus KRA based Incentives",5/13/16,,
IPsoft Global Services Private Limited,"B.Tech/B.E. - Computers PostgraduatePost Graduation Not Required, M.Tech - Computers Doctorate:Doctorate Not Required",5 - 10 yrs,IT Software Services,1.80E+11,Bengaluru,Peoplesoft Techno Functional/technical/functional Analyst,2,"8,00,000 - 15,00,000 P.A",05/10/2016,Post Graduate,Under Graduate
Career Define,"B.Tech/B.E. - Computers, B.Sc - Computers, BCA - Computers PostgraduateM.Tech - Computers, MCA - Computers, M.Sc - Co",4 - 8 yrs,IT Software Services,90216900371,"Delhi/NCR(National Capital Region) , Noida",Sr Software Engineer/team Lead - Java/j2ee - Banking Domain,1,Not Disclosed by Recruiter,05/11/2016,Post Graduate,Under Graduate
Trucksfirst Services Private Limited,Any Graduate - Any Specialization PostgraduateMBA/PGDM - Other Management Doctorate:Doctorate Not Required,0 - 2 yrs,Courier,1.11E+11,Gurgaon,Hiring MBA Freshers for Branch Manager role PAN India Location,50,"5,00,000 - 8,00,000 P.A",05/11/2016,Post Graduate,
Executive Search,"Any Graduate - Any Specialization, Graduation Not Required PostgraduateAny Postgraduate - Any Specialization, Post Gr",3 - 5 yrs,Consulting,2.60E+11,Gurgaon,Executive Assistant,1,"4,00,000 - 5,00,000 P.A",05/11/2016,Post Graduate,
FabHotels.com,Any Graduate,3 - 8 yrs,Travel,1.11E+11,Delhi/NCR(National Capital Region),Social Media/community Manager,1,Not Disclosed by Recruiter,05/11/2016,,
Evereen Consultant hiring for Reputed Branded Real Estate Organisation,"Any Graduate - Any Specialization PostgraduateMBA/PGDM - Advertising/Mass Communication, International Business, Mark",3 - 8 yrs,Real Estate ,1.11E+11,"Gurgaon , Faridabad",Executive - Sales - Real Estate Industry - Gurgaon,1,Excellent Salary.,05/11/2016,Post Graduate,
IT Infocube IT Services Private Limited,"Any Graduate - Any Specialization, Graduation Not Required, B.Tech/B.E. - Any Specialization, BCA - Computer",0 - 1 yrs,IT Software Services,2.00E+11,Delhi/NCR(National Capital Region),Web Development ( Free Internship/training),1,Not Disclosed by Recruiter,05/11/2016,,Under Graduate
Krishna Maruti Ltd.,Any Graduate - Any Specialization PostgraduateMBA/PGDM - Any Specialization Doctorate:Any Doctorate - Any Specializat,3 - 8 yrs,Retail,1.11E+11,Gurgaon,Engineer -trim Development,1,Not Disclosed by Recruiter,05/11/2016,Post Graduate,
Crescent Careers,Any Graduate - Any Specialization PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specializati,1 - 6 yrs,BPO,2.60E+11,"Chennai , Pondicherry",Indesign Paginators,30,Excellent Salary + Other Benefits,3/25/16,Post Graduate,
Careernet Technologies Pvt Ltd,Postgraduation,1 - 2 yrs,Recruitment,2.60E+11,Chennai,IT Recruiter Opening In Chennai,1,Not Disclosed by Recruiter,3/25/16,,
Right Cons,"Any Graduate - Any Specialization, Graduation Not Required PostgraduateCA, ICWA(CMA) Doctorate:Any Doctorate - Any Sp",5 - 8 yrs,Retail,2.60E+11,Chennai,Dy.manager / Manager - Finance,1,"7,00,000 - 10,00,000 P.A",3/25/16,Post Graduate,
Ikya Human Capital Solutions Pvt Ltd,Any Graduate,5 - 10 yrs,IT-Hardware & Networking,2.60E+11,"Noida , Delhi/NCR(National Capital Region) , Chennai",Opportunity for Linux Admin with HCL at Chennai and Noida Location,1,Not Disclosed by Recruiter,3/25/16,,
iNoryaSoft Private Limited,"B.Tech/B.E. PostgraduateM.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 - 8 yrs,IT Software Services,2.60E+11,Chennai,Flex App Developer,1,Not Disclosed by Recruiter,3/26/16,Post Graduate,Under Graduate
ADP Pvt. Ltd.,"B.Tech/B.E. PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Requ",1 - 5 yrs,IT Software Services,2.60E+11,Chennai,HRIS Implementation & Service Trainer,1,Not Disclosed by Recruiter,3/26/16,Post Graduate,Under Graduate
I Square Soft,"Any Graduate - Any Specialization, Graduation Not Required PostgraduateAny Postgraduate - Any Specialization, Post Gr",6 - 9 yrs,IT Software Services,2.50E+11,Chennai,.SAP Sr. FICO Functional Consultant,1,"5,00,000 - 14,00,000 P.A",3/24/16,Post Graduate,
E-CON SYSTEMS,"B.Tech/B.E. PostgraduateM.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 4 yrs,IT Software Services,10216500438,Chennai,FPGA Developer,1,Not Disclosed by Recruiter,3/24/16,Post Graduate,Under Graduate
"Amitysoft Technologies Pvt. Ltd.,","B.Tech/B.E. PostgraduateM.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",4 - 5 yrs,IT Software Services,10216500948,Chennai,Corporate Trainer for SOFTWARE TESTING,1,Not Disclosed by Recruiter,3/24/16,Post Graduate,Under Graduate
EQUINITI INDIA PRIVATE LIMITED,Any Graduate - Any Specialization PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specializati,1 - 2 yrs,BPO,2.50E+11,Chennai,Walkin-process Executive 29 March to 02 April for Financial Operations,1,Not Disclosed by Recruiter,3/24/16,Post Graduate,
Regen Powertech Pvt.Ltd,Any Graduate,5 - 6 yrs,Energy,2.60E+11,"Nellore , Chennai , Pune",Engineer Qa/ac,1,Not Disclosed by Recruiter,3/25/16,,
Trianz,Any Graduate,3 - 7 yrs,IT Software Services,2.50E+11,"Bengaluru , Chennai",Tivoli Monitoring || Trianz Holdings,1,Not Disclosed by Recruiter,3/24/16,,
Sage IT Pvt Ltd,Any Graduate,3 - 7 yrs,IT Software Services,2.50E+11,Chennai,Software Developer,1,Not Disclosed by Recruiter,3/24/16,,
Yuva ManPower Consultancy Pvt Ltd,Any Graduate,2 - 4 yrs,IT Software Services,2.60E+11,Chennai,node js Developer,1,Not Disclosed by Recruiter,3/25/16,,
e-con Systems,"B.Tech/B.E. PostgraduateM.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 - 8 yrs,IT Software Services,10216500881,Chennai,Project Engineer- QT Professional (Linux),1,Not Disclosed by Recruiter,3/24/16,Post Graduate,Under Graduate
